project,createdAt,pushedAt,releases,issues,commits,license,issue_rate,commit_rate,contributors,downloads,url
robertdebock/ansible-role-core_dependencies,2019-10-04T07:59:39Z,2022-01-28T05:47:33Z,49,1,241,apache-2.0,0.037,8.926,3,535404,https://github.com/robertdebock/ansible-role-core_dependencies.git
StackStorm/ansible-st2,2015-05-11T05:22:48Z,2022-01-24T12:46:19Z,47,98,1020,apache-2.0,1.225,12.75,40,526320,https://github.com/StackStorm/ansible-st2.git
robertdebock/ansible-role-python_pip,2017-11-01T19:35:00Z,2022-01-28T09:28:47Z,79,6,533,apache-2.0,0.12,10.66,3,425879,https://github.com/robertdebock/ansible-role-python_pip.git
robertdebock/ansible-role-service,2019-02-20T18:38:15Z,2022-01-27T13:33:09Z,61,2,306,apache-2.0,0.057,8.743,3,221458,https://github.com/robertdebock/ansible-role-service.git
nginxinc/ansible-role-nginx-config,2020-08-10T14:23:45Z,2022-01-28T02:54:20Z,9,44,171,apache-2.0,2.588,10.059,17,176886,https://github.com/nginxinc/ansible-role-nginx-config.git
linux-system-roles/timesync,2017-04-26T15:39:50Z,2022-01-17T21:43:25Z,16,25,164,mit,0.446,2.929,15,172989,https://github.com/linux-system-roles/timesync.git
PyratLabs/ansible-role-k3s,2019-03-02T21:00:05Z,2022-01-30T14:08:53Z,48,93,367,bsd-3-clause,2.735,10.794,26,97009,https://github.com/PyratLabs/ansible-role-k3s.git
cloudalchemy/ansible-snmp-exporter,2017-12-08T23:00:21Z,2022-01-30T14:22:41Z,16,1,131,mit,0.02,2.673,5,92611,https://github.com/cloudalchemy/ansible-snmp-exporter.git
stackhpc/ansible-role-os-images,2017-05-18T14:11:10Z,2022-01-25T09:33:32Z,16,6,118,apache-2.0,0.107,2.107,12,80064,https://github.com/stackhpc/ansible-role-os-images.git
avinetworks/ansible-role-avisdk,2016-09-28T18:27:53Z,2022-01-26T05:25:15Z,53,8,346,apache-2.0,0.127,5.492,20,59640,https://github.com/avinetworks/ansible-role-avisdk.git
robertdebock/ansible-role-zabbix_repository,2018-12-20T15:22:02Z,2022-01-27T13:14:51Z,50,2,273,apache-2.0,0.054,7.378,2,56123,https://github.com/robertdebock/ansible-role-zabbix_repository.git
threatstack/threatstack-ansible,2015-02-17T22:11:41Z,2021-11-15T16:16:46Z,22,16,168,mit,0.2,2.1,24,54872,https://github.com/threatstack/threatstack-ansible.git
